id,index,content,proofed
73955,1,尊敬的战友们好啊,尊敬的战友们好啊
73956,2,今天是,今天是
73957,3,1月19号,1月19号
73958,4,文贵报平安直播,文贵报平安直播
73959,5,今天虽然是星期六啊,今天虽然是星期六啊
73960,6,可调节,们好啊，今
73961,7,今天虽然是星期六,今天虽然是星期六
73962,8,但是呢这个没有这个连线直不喝一个市,但是呢没有连线直播，一个是啊……咱这
73963,9,只是咱们已经连到了拨了这个受采访3死了那么这个,直播，一个是啊……咱这已经是连著播了、受采访了三次了，那么
73964,10,这个星期六哪约好的,这个星期六呢，约好
73965,11,我本来是要和一个美国的朋友连线直播,的本来是要和一个美国的朋友连线直
73966,12,但是了,但是
73967,13,友谊这个半农先生还有这个白不要白了还是华盛顿,由于这个班农先生还有这个白…哎呀，不要白了…还是华盛顿
73968,14,华盛顿有几个朋友特别是这个,华盛顿有几个朋友，特别是过
73969,15,过去的,过去的
73970,16,这个地方人员而言约星期六来就是几分钟,人员啊，军方人员，约星期六也就是十几分钟
73971,17,分钟以后,分钟以后
73972,18,也就是9点钟,也就是九点钟
73973,19,9点钟啊出redis-port这个是文贵身上谢谢啊,以说呢现在，我昨天晚上睡的时候
73974,20,沙发沙发我作证啊来了来了来了来了哈喽哈喽,说呢现在，我昨天晚上睡的时候大概
73975,21,这个吃早餐,这一觉啊
73976,22,然后再吃午餐,然后马上
73977,23,我今天大概有五有时会五个小时的会啊,我嗓子都快哑了，没事啊，然后呢就喝点儿水、吃个
73978,24,非常的心态我昨天晚上睡的时候大概,你看我嗓子都快哑了，没事啊，然后呢就喝点儿水、吃个
73979,25,最起码是,快哑了，没事
73980,26,3点多4点把他10点了,锻炼啊，今天不锻炼
73981,27,那么,哑了
73982,28,这一见了就睡到了7点50,哑了，没事啊，然后呢就喝点
73983,29,然后马上这个价今天不在练啊今天不锻炼马上起来爬起来,今天不锻炼，马上起来爬起来，你看我嗓子都快哑了，没事啊，然后呢就
73984,30,然后这个这个,然后呢就喝
73985,31,给我发个多呀没事啊,都快哑了，没事啊
73986,32,然后他就喝点水吃个苹果,然后呢就喝点儿水、吃个苹果
73987,33,啊冲凉然后赶快给我,冲个凉，然后赶快给
73988,34,Erek erek,哥也没了
73989,35,阿里卡,大家
73990,36,七个向你问好向你问好,给大家直播一下报个平安。这
73991,37,七阁下你们好听不清楚艾瑞卡,下报个平安。这一会儿里边
73992,38,这个可以玩,哥也没了，木兰
73993,39,都没了小累了没了木兰也没了,都没了，小哥也没了，木兰也没了
73994,40,听说现在Zara贝兰女王中阿三个未来电话中,听说现在Sara被蓝金黄中啊，Sara被蓝金黄中
73995,41,听说那先生被打了哈哈再给蓝精华,听说现在Sara被蓝金黄中啊，Sara被
73996,42,结果查找这个嘴里面落下来一个假牙假牙听说数字,结果啥没捞著啊，这个嘴里边拉下了一个假牙，嘴里拉下
73997,43,然还在做视频解释我没未来年华,然后还在做视频解释「我没被蓝金
73998,44,收藏,黄！」
73999,45,啊哈哈这个人还差点什么,啦哈哈的人这个给蓝金黄，差
74000,46,记得你的嘴假牙啊,结果弄一嘴假牙啊
74001,47,是昨天晚上我能睡睡得太晚了,所以昨天晚上我这睡得太晚了
74002,48,牙齿,"牙。

"
74003,49,我的位置,我的私信
74004,50,所以说这种的这个昨天晚上我看了很多国内在有了给我的这个,所以说战友们，昨天晚上啊我看了很多国内战友给我的私
74005,51,实现我看了这几个小时,私信啊，我看了几个小时，我这
74006,52,我养的花都会,我这眼都花了都
74007,53,这个特别是哎哟真没想到我了,这个政事小哥影响力那么
74008,54,这个政治小柯音响力那么大呀,这个政事小哥影响力那么大啊
