id,index,content,proofed
191288,1,尊敬的战友们好,尊敬的战友们好
191289,2,我再次重申啊,我再次重申啊
191290,3,咱们现在坚持,咱们现在坚持
191291,4,郭七条,郭七条
191292,5,这个昨天和前天我,这个昨天和前天我
191293,6,国内有些朋友通,国内的一些朋友通
191294,7,通电话,通电话
191295,8,很多人,很多人
191296,9,很多信息,很多信息
191297,10,汇集到一起,汇集到一起
191298,11,结果就是,结果就是
191299,12,盗贼现在最喜欢特别是王岐山先生,盗国贼现在最希望特别是王岐山先生
191300,13,那个小傻蛋,那个小手哒
191301,14,王岐山先生最希望的我们,王岐山先生最希望我们
191302,15,说不准和我联系,种和我联系
191303,16,就是要证明,就是要证明
191304,17,郭文贵就是要打火锅,郭文贵就是要打破郭
191305,18,我们绝对不能成为王歧山和盗国贼们,我们绝对不能成为王岐山和盗国贼们
191306,19,这个内部政治斗争的工具,这个内部政治斗争的工具
191307,20,郭文贵不能成为任何一帮一派的六人,郭文贵不能成为任何一帮一派的利
191308,21,也不可能也不可能,也不可能，也不可能
191309,22,也不可能啊,也不可能啊
191310,23,这是符合逻辑的,这是符合逻辑的
191311,24,否则那就惨了,否则那就惨了
191312,25,另外一个,另外一个
191313,26,我希望再次重生,我希望再次重申
191314,27,所有的战友,所有的战友
191315,28,郭文贵的爆料和命,郭文贵的爆料革命
191316,29,非常简单,非常简单
191317,30,绝不允许狗,绝不允许搞
191318,31,局部一狗,绝不搞募
191319,32,绝味,绝对
191320,33,第2个,第二个
191321,34,绝对我们是非暴力的要求,绝对我们是非暴力的要求
191322,35,非暴力的数求,非暴力的诉求
191323,36,非暴力的手机,非暴力的诉求
191324,37,另外的我再要重新的事情,另外一个我在要重申的事情
191325,38,我们就是反倒过来,我们就是反盗国贼
191326,39,反斗,反盗
191327,40,就是我们的核心,就是我们的核心
191328,41,反斗个累犯到我的,反盗国贼，反盗
191329,42,这个是不能改变的,这个是不能改变的
191330,43,我们会不会参与任何组织,郭文贵不会参与任何组织
191331,44,也不会成立任何组,也不会成立任何组
191332,45,永远不要任何政治头衔,永远不要任何政治头衔
191333,46,永远不会在这是那个意思呢毛利,永远不会在这个事情有一份
191334,47,文贵的这个爆料更不了的事情,文贵的这个爆料更重要的事
191335,48,永永远远不会出一点名,永永远远不会图一点名
191336,49,所以我需要所有的字,所以我希望所有的
191337,50,挺过查过的人都要记住,挺郭、砸郭的人都要记住
191338,51,文贵,文贵
191339,52,希望真的法国开心你们就打我,希望只要你们砸郭开心，你们就
191340,53,祝你们的有力一反倒会给中国人争取法制民主和自由,你们能有利于反盗国贼，给中国人争取法治民主和自由
191341,54,你们发货也可以吗我都可以在玩弄我都可以,你们砸郭也可以，骂郭也可以，怎么弄郭都可以
191342,55,但是玩过的所有的战役,但是援郭的所有的战
191343,56,你们员工如果正在来安全和自由,你们如果援郭带来安全和自由和
191344,57,核威胁和经济损失你千万不要怨我,和威胁，和经济损失，你们千万不要援
191345,58,不管有多少人员国还是法国,不管有多少人援郭还是砸郭
191346,59,文贵的这29年的计划都会要试试一下去,文贵的这29年计划都要实施下去，都会
191347,60,都要继续走下去,会要继续走下去
191348,61,另外一个,另外一个
191349,62,我在说什么,我再次重申
191350,63,豆粕谁对我们尝不是你们无法想象的很多话我是不能说的,盗国贼对你们的残酷是无法想象的，很多话我是不能说的
191351,64,这个2000前我们一个员工的妻子,这个两天前，我们一个员工的妻
191352,65,给我打个电话两三年来没通过电话,给我打了个电话，两三年来没通过电话
191353,66,给我打了电话服一套,给我打了电话，哭的一塌
191354,67,当年他被带走的时候,当年她被带走的时候
191355,68,在北京市公安局,在北京市公安局
191356,69,就让他在会吗说道,就让她在屋里面，说她
191357,70,这个身上还有东西,说她身上藏有东西
191358,71,确实他进去之前他带了一个小手机,确实她进去之前，她带了一个小手机
191359,72,到时候手机翻都是因为这个把它臭哪一个,当时立马把这个手机翻走，就因为这个把她臭
191360,73,男的女的,男的女的
191361,74,他长得很胖了,她长得很胖的
191362,75,站在门口他翻墙脱光了光光的深的战略的钱,站在门口旁边，脱光了，光光的身子站在墙
191363,76,然后门开了这里里外外都有进出的人,然后那个门开了，就里里外外都有进出的人
191364,77,他几个小时,她几个小时
191365,78,他突出特点,他们就抽她
191366,79,头发强壮,头发往墙
191367,80,然后我的身体啊,然后往她身
191368,81,这就是大美女的进来,真的是发自内心的好
191369,82,你是想想跟我说如果真的发生了一些事我心情一直好起来,你去想想，我心情真的是发自内心的好不起来，我都难以想象，一个
191370,83,我都难以想象一个都是女人生的男人,我都难以想象，一个都是女人生的男人
191371,84,还有女生的女人呢,还有女人生的女人
191372,85,你们怎么下得到什么一个女人大白天的站在那个门口,你们怎么下的了手让一个女人大白天的站在门口
191373,86,跟始终一样来来往往的人,跟示众一样，来来往往的人
191374,87,这句看了,着她，而
191375,88,而且对他的各种丝印地方,而且对她的各种隐私地方
191376,89,品头论足,评头论足
191377,90,竟然的用的男人说爱着什么保挺长啊,竟然有的男人说这个什么....啊，是不是什
191378,91,是不是还挺厉害呀,是不是什么挺厉害呀
191379,92,你想想我的家人和我说的是我什么感受,你想想我的员工的家人会是什么感受啊，所
191380,93,什么感受,什么感受
191381,94,所以所有的战也不要用你的,所以所有的战友们，不要用你
191382,95,甲鱼生命自由和安全,家人，生命，自由和安全和你
191383,96,和你们那些,和你们那些
191384,97,养和生命的前来,养活生命的钱来
191385,98,来源国没有意义的,来援郭，没有意义的
191386,99,我们要靠的生力合成的和我们成功,我要靠的胜利和我们的成功，喜马
191387,100,喜马拉雅法制自由民主的,喜马拉雅法治自由民主的
191388,101,中国是中国党内绝大多数人看清楚,"中国，



使中国党内绝大多数人看清楚"
191389,102,中南油中南瓜和豆腐怎么的本质,中南妖，中南怪，和盗国贼们他们的
191390,103,说味道,所谓咱
191391,104,他们这种知识,他们这种知识
191392,105,然而在嘴里讲了一个假话然后都不懂威胁,然后在嘴里讲的一个个的假话，嘟噜嘟噜的那
191393,106,这些事情不能开完以后,这些事情被他们看完以后
191394,107,这种恐惧和威胁,这种恐惧和威胁
191395,108,大家集体,大家集体
191396,109,99的党的人都会看出来,的党内的人都给看清楚
191397,110,会把他们推翻了,会把他们推翻的
191398,111,我们需要学问的事,我们需要学会的是
191399,112,一党制肥,以党治贼
191400,113,一党反倒,以党反盗
191401,114,阿什么你们再支持在原过,啊，所以战友们。你们在支持
191402,115,会起到决定的,会起到决定的
191403,116,咱们可以表达情侣我不希望你没有任何人,咱们可以表达情绪，我不希望你们有任何人
191404,117,文贵的爆料革命不喜欢任何人流血不希望任何人,文贵的爆料革命，不希望任何人流血，不希望任何人
191405,118,付出代价,付出代价
191406,119,更不要像你的我们这一家付出大太大太大了,更不要像我们员工的这家付出太大太大了
191407,120,我再次求求人,我再次求求
191408,121,你们千万不要任何的,你们千万不要任何的
191409,122,暴力,暴力
191410,123,和所谓牺牲清是这是,和所谓的牺牲精神，这是
191411,124,不允许,不允许
191412,125,拜托了,拜托了
191413,126,分体式改成是该够和沙是不好性格,这是该吃吃该喝喝，啥事不往心里搁
191414,127,没事了你而生,没事儿了喊两
191415,128,需要相信,需要相信
191416,129,我们一定会应该我明了有文贵,我们一定会赢。该我们赢了，有文贵
191417,130,文贵的生命中没有输的历史,文贵的生命中没有输的历史
191418,131,没有输的历史,没有输的历史
191419,132,我会说什么机器人是什么狗屁机接口自动化了,我不会说什么机器人儿啊什么的，什么狗屁机器人，机器
191420,133,现在禁止你自己该软件还是不是,现在机器人给自己改软件了是不是，哪
191421,134,百万机器人这是魔鬼这是盗国贼,么机器人，这是魔鬼，这是盗国贼
191422,135,只有的是母,只有他是魔
191423,136,只要的是鬼就见不了光,只要他是鬼，就见不了光，文贵
191424,137,文贵爆料的手段,文贵爆料的手段
191425,138,这个爆料手段,这个爆料手段
191426,139,就是见不得光的事情部落格,就是把他见不了光的事情，曝了
191427,140,让全世界你看到让上天看到惩罚的,让全世界人民看到，让上天看到，惩罚
191428,141,所以这不是人,所以这不是人
191429,142,与人的斗争也不是人一体,与人的斗争，也不是人与体
191430,143,也不是我们弱小河内道的作者,也不是我们弱小和那些盗国贼
191431,144,郑进一叶道人,正义与邪恶的斗
191432,145,上和的斗争,善和恶的斗争
191433,146,真和假的肚子,真和假的斗
191434,147,更重要的是,更重要的是
191435,148,上天正义之神和魔鬼的东西,上天正义之神和魔鬼的斗
191436,149,没有人可以改变结果,没有人可以改变结果
